--------- beginning of main
04-11 19:50:43.045 I/MNNJNI  (15609): [AECS] Final execution plan prefill=2,3,4,5,6,7/6 decode=7/1 split_phase_bench=1
04-11 19:50:43.045 I/MNNJNI  (15609): [AECS] Final static core capacities=379,379,923,923,923,867,867,1024
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Case model=./model_dir/config.json prompt=512 decode=128 repeats=1 kv=true split_phase=1
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Scheduler config p=work_steal,d=dynamic,dc=0
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] Active bindings pool=8/[0,1,2,3,4,5,6,7] prefill=6/[2,3,4,5,6,7] decode=1/[7]
04-11 19:50:43.045 I/MNNJNI  (15609): [llm_bench] final_op_encoder_number=0
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Core capacities set to: [
04-11 19:50:43.045 I/MNNJNI  (15609): 379:
04-11 19:50:43.045 I/MNNJNI  (15609): 379:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 923:
04-11 19:50:43.045 I/MNNJNI  (15609): 867:
04-11 19:50:43.045 I/MNNJNI  (15609): 867:
04-11 19:50:43.045 I/MNNJNI  (15609): 1024
04-11 19:50:43.045 I/MNNJNI  (15609): ]
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Prefill tuning updated: policy=work_steal, target_chunks=0
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=2
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Default execution updated: threads=8, affinity=0xFF
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Prefill execution updated: threads=8, affinity=0xFF
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Decode execution updated: threads=1, affinity=0xFF
04-11 19:50:43.045 I/MNNJNI  (15609): [AutoTuner] Phase changed: UNKNOWN -> PREFILL (threads=8, affinity=0xFF)
04-11 19:50:44.448 I/MNNJNI  (15609): [AutoTuner] Phase changed: PREFILL -> DECODE (threads=1, affinity=0xFF)
04-11 19:50:44.469 I/MNNJNI  (15609): [llm_bench][decode_prime] prompt=512 gen=1 prefill_threads=8 decode_threads=1 bind=[0,1,2,3,4,5,6,7] prefill=1.376639 s decode=0.004500 s prefill_speed=371.920 tok/s decode_speed=222.222 tok/s
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Core capacities set to: [
04-11 19:50:44.469 I/MNNJNI  (15609): 379:
04-11 19:50:44.469 I/MNNJNI  (15609): 379:
04-11 19:50:44.469 I/MNNJNI  (15609): 923:
04-11 19:50:44.469 I/MNNJNI  (15609): 923:
04-11 19:50:44.469 I/MNNJNI  (15609): 923:
04-11 19:50:44.469 I/MNNJNI  (15609): 867:
04-11 19:50:44.469 I/MNNJNI  (15609): 867:
04-11 19:50:44.469 I/MNNJNI  (15609): 1024
04-11 19:50:44.469 I/MNNJNI  (15609): ]
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Prefill tuning updated: policy=work_steal, target_chunks=0
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=2
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Default execution updated: threads=8, affinity=0xFF
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Decode execution updated: threads=1, affinity=0x80
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Phase changed: DECODE -> UNKNOWN (threads=8, affinity=0xFF)
04-11 19:50:44.469 I/MNNJNI  (15609): [llm_bench][warmup 1/1] start prefill prompt=512 threads=6 bind=[2,3,4,5,6,7]
04-11 19:50:44.469 I/MNNJNI  (15609): [AutoTuner] Phase changed: UNKNOWN -> PREFILL (threads=6, affinity=0xFC)
