--------- beginning of main
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=8 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=9 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=10 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=11 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=12 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=13 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=14 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=15 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=16 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=17 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=18 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=19 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=20 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=21 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=22 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=23 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=24 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=25 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=26 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.488 20269 20269 I MNNJNI  : [HybridPlan] seq=27 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
