04-09 23:47:13.849 20399 20399 E llm_bench: createInstance(64bit) : createExtendedFactory
04-09 23:47:13.852 20399 20399 E llm_bench: createInstance(64bit) : createExtendedFactory
04-09 23:47:13.852 20399 20399 E llm_bench: Opened libinputextensionsimpl.so
04-09 23:47:13.852 20399 20399 E llm_bench: Opened libinputextensionsimpl.so
04-09 23:47:13.867 20399 20399 E MNNJNI  : Can't open file:/sys/devices/system/cpu/cpufreq/boost/affected_cpus
04-09 23:47:15.643 20399 20399 I MNNJNI  : 1024
04-09 23:47:15.643 20399 20399 I MNNJNI  : ]
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-09 23:47:15.643 20399 20399 I MNNJNI  : [AutoTuner] Decode execution updated: threads=6, affinity=0xFC
04-09 23:47:16.650 20399 20399 I MNNJNI  : [AECS][Prefill][measure 1/5] candidate=7,6,5,4,3,2 threads=6 prompt=512 time=0.992159 s speed=516.046 tok/s
04-09 23:47:16.650 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:16.650 20399 20399 I MNNJNI  : 379:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 379:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 923:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 923:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 923:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 867:
04-09 23:47:16.650 20399 20399 I MNNJNI  : 867:
04-09 23:47:16.651 20399 20399 I MNNJNI  : 1024
04-09 23:47:16.651 20399 20399 I MNNJNI  : ]
04-09 23:47:16.651 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:16.651 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:16.651 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
04-09 23:47:16.651 20399 20399 I MNNJNI  : [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-09 23:47:16.651 20399 20399 I MNNJNI  : [AutoTuner] Decode execution updated: threads=6, affinity=0xFC
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AECS][Prefill][measure 2/5] candidate=7,6,5,4,3,2 threads=6 prompt=512 time=0.995946 s speed=514.084 tok/s
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:17.662 20399 20399 I MNNJNI  : 379:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 379:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 923:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 923:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 923:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 867:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 867:
04-09 23:47:17.662 20399 20399 I MNNJNI  : 1024
04-09 23:47:17.662 20399 20399 I MNNJNI  : ]
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-09 23:47:17.662 20399 20399 I MNNJNI  : [AutoTuner] Decode execution updated: threads=6, affinity=0xFC
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AECS][Prefill][measure 3/5] candidate=7,6,5,4,3,2 threads=6 prompt=512 time=0.984362 s speed=520.134 tok/s
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:18.663 20399 20399 I MNNJNI  : 379:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 379:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 923:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 923:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 923:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 867:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 867:
04-09 23:47:18.663 20399 20399 I MNNJNI  : 1024
04-09 23:47:18.663 20399 20399 I MNNJNI  : ]
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Prefill execution updated: threads=6, affinity=0xFC
04-09 23:47:18.663 20399 20399 I MNNJNI  : [AutoTuner] Decode execution updated: threads=6, affinity=0xFC
04-09 23:47:19.673 20399 20399 I MNNJNI  : [AECS][Prefill][measure 4/5] candidate=7,6,5,4,3,2 threads=6 prompt=512 time=0.994347 s speed=514.911 tok/s
04-09 23:47:19.673 20399 20399 I MNNJNI  : [AutoTuner] Core capacities set to: [
04-09 23:47:19.673 20399 20399 I MNNJNI  : 379:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 379:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 923:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 923:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 923:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 867:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 867:
04-09 23:47:19.673 20399 20399 I MNNJNI  : 1024
04-09 23:47:19.673 20399 20399 I MNNJNI  : ]
04-09 23:47:19.673 20399 20399 I MNNJNI  : [AutoTuner] Prefill tuning updated: policy=static, target_chunks=0
04-09 23:47:19.673 20399 20399 I MNNJNI  : [AutoTuner] Decode tuning updated: policy=dynamic, target_chunks=12
04-09 23:47:19.673 20399 20399 I MNNJNI  : [AutoTuner] Default execution updated: threads=6, affinity=0xFC
